"s37rep1_sum"	"s37rep2_sum"	"s37rep3_sum"	"s32rep1_sum"	"s32rep2_sum"	"s32rep3_sum"
"ENSG00000013375"	3701	3461	2313	2650	3032	2426
"ENSG00000013392"	112	118	129	107	159	154
"ENSG00000013441"	896	1078	829	483	614	456
"ENSG00000013503"	341	246	170	222	185	110
"ENSG00000013523"	125	116	79	93	74	48
"ENSG00000013561"	976	1057	1003	900	1035	707
"ENSG00000013563"	199	246	265	116	193	266
"ENSG00000013573"	2843	2391	1896	2457	2086	1606
"ENSG00000013583"	265	163	174	184	142	118
"ENSG00000013588"	59	41	57	32	23	44
"ENSG00000013619"	119	100	149	108	59	144
"ENSG00000013810"	951	888	608	761	628	349
"ENSG00000014123"	206	179	169	127	161	166
"ENSG00000014138"	792	564	546	428	556	341
"ENSG00000014164"	18	8	10	30	7	4
"ENSG00000014216"	381	299	262	329	449	163
"ENSG00000014257"	16	8	16	5	16	10
"ENSG00000014641"	16495	18090	11361	12803	14017	11968
"ENSG00000014824"	687	667	413	596	494	374
"ENSG00000014914"	9	26	30	20	24	1
"ENSG00000014919"	518	493	400	343	338	342
"ENSG00000015133"	40	30	57	19	22	37
"ENSG00000015153"	573	518	351	391	322	246
"ENSG00000015171"	433	627	287	341	321	326
"ENSG00000015285"	12	2	11	0	0	0
"ENSG00000015413"	57	12	20	8	33	4
"ENSG00000015475"	691	690	378	789	651	275
"ENSG00000015479"	6383	5773	2958	3947	5040	3412
"ENSG00000015520"	4	3	0	2	12	15
"ENSG00000015532"	197	286	129	179	184	183
"ENSG00000015568"	372	319	372	259	195	213
"ENSG00000015592"	0	0	2	0	0	0
"ENSG00000015676"	503	399	265	373	314	238
"ENSG00000016082"	52	41	37	34	26	14
"ENSG00000016391"	60	47	34	49	46	28
"ENSG00000016864"	683	638	467	526	608	385
"ENSG00000017260"	1141	1479	881	495	729	605
"ENSG00000017427"	5	2	1	1	2	4
"ENSG00000017483"	0	1	0	0	0	0
"ENSG00000017797"	489	683	601	546	672	467
"ENSG00000018189"	233	180	220	105	110	102
"ENSG00000018236"	44	36	24	30	22	22
"ENSG00000018280"	16	21	9	46	10	18
"ENSG00000018408"	200	228	169	145	138	176
"ENSG00000018510"	1901	1521	1193	807	1119	799
"ENSG00000018607"	0	0	0	0	0	1
"ENSG00000018610"	1650	1687	1092	1608	1676	1467
"ENSG00000018625"	1	0	0	0	0	0
"ENSG00000018699"	355	292	154	275	260	148
"ENSG00000018869"	141	131	75	70	80	42
"ENSG00000019102"	5	0	2	4	1	0
"ENSG00000019144"	246	351	402	201	206	274
"ENSG00000019186"	0	0	0	2	0	3
"ENSG00000019485"	13	10	4	6	11	6
"ENSG00000019505"	0	3	1	3	1	12
"ENSG00000019549"	352	410	314	210	227	254
"ENSG00000019582"	15	0	2	4	2	14
"ENSG00000019991"	1	0	1	0	0	5
"ENSG00000019995"	79	99	76	65	103	64
"ENSG00000020129"	437	386	220	384	357	243
"ENSG00000020181"	182	220	243	160	138	204
"ENSG00000020256"	741	527	563	401	351	218
"ENSG00000020426"	1433	1463	1192	1234	1437	1330
"ENSG00000020577"	147	164	128	108	189	116
"ENSG00000020633"	24	24	30	9	3	24
"ENSG00000020922"	787	825	600	600	451	522
"ENSG00000021300"	71	99	112	53	128	34
"ENSG00000021355"	61	111	126	113	97	96
"ENSG00000021461"	1	0	1	1	2	1
